epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4690.24,1.11085,0.79239,1.17675,0.9829,0.97423,0.97989,0.75049,0.86711,0.44095,1.07891,0.0014753,0.0014753,0.0014753
55,4778.78,1.10625,0.77763,1.17389,0.96913,0.95876,0.9814,0.73401,0.88307,0.4627,1.07339,0.0014654,0.0014654,0.0014654
56,4868.94,1.09722,0.78062,1.16695,0.9921,0.95876,0.98221,0.74447,0.90458,0.42496,1.07903,0.0014555,0.0014555,0.0014555
57,4957.87,1.08438,0.76726,1.16281,0.9895,0.97423,0.98507,0.7656,0.85325,0.39671,1.05004,0.0014456,0.0014456,0.0014456
58,5045.79,1.10754,0.78512,1.17768,0.98134,0.94845,0.98275,0.77527,0.83614,0.39825,1.06411,0.0014357,0.0014357,0.0014357
59,5134.28,1.10429,0.78399,1.17536,0.98062,0.94845,0.98305,0.75792,0.85924,0.41812,1.07468,0.0014258,0.0014258,0.0014258
60,5222.32,1.07749,0.76425,1.16435,0.98511,0.95361,0.97649,0.76387,0.85044,0.39417,1.04974,0.0014159,0.0014159,0.0014159
61,5311.59,1.08936,0.77209,1.166,0.98382,0.96392,0.97759,0.74727,0.88376,0.41816,1.08912,0.001406,0.001406,0.001406
62,5402.74,1.09022,0.76829,1.16701,0.9826,0.95876,0.98216,0.7536,0.87153,0.41677,1.06049,0.0013961,0.0013961,0.0013961
63,5497.05,1.09198,0.76688,1.16649,0.94461,0.96699,0.98051,0.72921,0.93922,0.43401,1.14476,0.0013862,0.0013862,0.0013862
64,5588.43,1.08983,0.76747,1.16909,0.98916,0.94031,0.97355,0.7311,0.93209,0.42762,1.12047,0.0013763,0.0013763,0.0013763
65,5676.45,1.07803,0.75664,1.15663,1,0.94537,0.98415,0.75257,0.88761,0.39558,1.08654,0.0013664,0.0013664,0.0013664
66,5765.79,1.08866,0.76419,1.163,0.95834,0.94873,0.97361,0.74305,0.89836,0.43522,1.08582,0.0013565,0.0013565,0.0013565
67,5850.18,1.07292,0.74379,1.15658,0.99086,0.97423,0.98588,0.75313,0.89412,0.40218,1.07463,0.0013466,0.0013466,0.0013466
68,5959.18,1.07796,0.74434,1.15387,0.9687,0.96907,0.97967,0.72861,0.92905,0.43067,1.1169,0.0013367,0.0013367,0.0013367
69,6085.25,1.07461,0.7567,1.16089,0.96257,0.94845,0.97712,0.76117,0.85292,0.41485,1.06593,0.0013268,0.0013268,0.0013268
70,6195.8,1.06178,0.74156,1.15095,0.96464,0.98425,0.98481,0.74308,0.92747,0.40692,1.11523,0.0013169,0.0013169,0.0013169
71,6309.59,1.05964,0.73939,1.1534,0.99241,0.9433,0.97293,0.74314,0.93697,0.4369,1.1166,0.001307,0.001307,0.001307
72,6403.86,1.07662,0.74709,1.15917,0.96921,0.97359,0.97552,0.7673,0.84638,0.39366,1.05562,0.0012971,0.0012971,0.0012971
73,6495.86,1.04572,0.73364,1.14885,0.99465,0.95875,0.9841,0.75084,0.86289,0.41183,1.08404,0.0012872,0.0012872,0.0012872
74,6588.26,1.07258,0.75804,1.1584,0.98716,0.95361,0.97374,0.74433,0.88624,0.41531,1.08968,0.0012773,0.0012773,0.0012773
75,6680.06,1.05547,0.7415,1.14575,0.96819,0.94144,0.96787,0.74965,0.88915,0.42445,1.09486,0.0012674,0.0012674,0.0012674
76,6771.78,1.04922,0.7325,1.14767,0.96018,0.96392,0.98136,0.77002,0.82992,0.39225,1.0524,0.0012575,0.0012575,0.0012575
77,6879.05,1.05728,0.72988,1.14992,0.98417,0.96119,0.98026,0.76756,0.85864,0.3989,1.06091,0.0012476,0.0012476,0.0012476
78,6978.7,1.04584,0.73093,1.141,0.97692,0.96907,0.98338,0.75289,0.86302,0.40469,1.08798,0.0012377,0.0012377,0.0012377
79,7071.29,1.05565,0.72591,1.14612,0.98212,0.95361,0.98131,0.7545,0.85335,0.41062,1.07553,0.0012278,0.0012278,0.0012278
80,7165.77,1.06081,0.7328,1.15104,0.99277,0.97423,0.98528,0.7843,0.82489,0.36106,1.02683,0.0012179,0.0012179,0.0012179
81,7250.62,1.05123,0.72624,1.14608,0.98304,0.97423,0.97703,0.76115,0.846,0.39781,1.06389,0.001208,0.001208,0.001208
82,7337.21,1.05178,0.72996,1.15393,0.97668,0.9433,0.97312,0.75833,0.83506,0.39499,1.07889,0.0011981,0.0011981,0.0011981
83,7421.2,1.04053,0.72331,1.14914,0.98401,0.95153,0.98141,0.75007,0.90724,0.39512,1.10161,0.0011882,0.0011882,0.0011882
84,7580.8,1.05586,0.71856,1.1454,0.96353,0.97423,0.98462,0.76817,0.84355,0.39807,1.07056,0.0011783,0.0011783,0.0011783
85,7816.89,1.03528,0.70697,1.13435,0.97424,0.97466,0.98553,0.7628,0.84738,0.38514,1.07889,0.0011684,0.0011684,0.0011684
86,7924.02,1.04878,0.73202,1.14736,0.97295,0.94845,0.98252,0.75981,0.88836,0.4102,1.09363,0.0011585,0.0011585,0.0011585
87,8027.34,1.02684,0.71618,1.13713,0.97393,0.96286,0.98492,0.77355,0.84231,0.3811,1.06244,0.0011486,0.0011486,0.0011486
88,8123.28,1.03414,0.72154,1.14068,0.98625,0.96907,0.98441,0.76562,0.85999,0.38901,1.0736,0.0011387,0.0011387,0.0011387
89,8223.12,1.02658,0.71016,1.13468,0.98117,0.96392,0.98367,0.75907,0.85692,0.39097,1.07205,0.0011288,0.0011288,0.0011288
90,8324.28,1.02422,0.70923,1.13784,0.99794,0.96907,0.98507,0.78758,0.80174,0.35264,1.03795,0.0011189,0.0011189,0.0011189
91,8439.07,1.03783,0.71207,1.13567,0.98835,0.95876,0.98395,0.77034,0.84365,0.3827,1.07723,0.001109,0.001109,0.001109
92,8609.88,1.02948,0.70494,1.13809,0.98419,0.96248,0.98383,0.76044,0.86191,0.3828,1.0962,0.0010991,0.0010991,0.0010991
93,8736.43,1.02518,0.71345,1.1354,0.97429,0.97651,0.98439,0.77503,0.81204,0.37456,1.04717,0.0010892,0.0010892,0.0010892
94,8849.16,1.03034,0.70843,1.13698,0.9794,0.98009,0.9863,0.76204,0.82841,0.36775,1.06777,0.0010793,0.0010793,0.0010793
95,8943.52,1.02428,0.69224,1.13116,0.99388,0.97423,0.98687,0.7851,0.81821,0.35952,1.05425,0.0010694,0.0010694,0.0010694
96,9039,1.01863,0.698,1.13255,0.98245,0.95361,0.98272,0.75259,0.84371,0.39913,1.10183,0.0010595,0.0010595,0.0010595
97,9134.73,1.02152,0.70477,1.13836,0.98876,0.97423,0.98685,0.77591,0.84939,0.37242,1.06845,0.0010496,0.0010496,0.0010496
98,9223.48,1.02046,0.70229,1.13384,0.98952,0.97346,0.98537,0.77313,0.81858,0.37,1.06707,0.0010397,0.0010397,0.0010397
99,9318.03,1.01515,0.69457,1.12972,0.97939,0.97997,0.98584,0.77509,0.79969,0.36276,1.04398,0.0010298,0.0010298,0.0010298
100,9451.74,1.0132,0.69482,1.12765,0.99774,0.95361,0.98371,0.77345,0.82438,0.36973,1.05749,0.0010199,0.0010199,0.0010199
101,9576.61,1.02667,0.69796,1.13111,0.99421,0.96392,0.98571,0.76906,0.83741,0.36971,1.06774,0.00101,0.00101,0.00101
102,9679.31,1.00006,0.69384,1.12519,0.99729,0.95361,0.98317,0.77855,0.80229,0.35902,1.04755,0.0010001,0.0010001,0.0010001
103,9784.72,1.00384,0.68199,1.11691,0.98943,0.96526,0.98588,0.78409,0.82286,0.35023,1.05663,0.0009902,0.0009902,0.0009902
104,9885.14,1.01552,0.69633,1.12692,0.97063,0.95361,0.9757,0.75399,0.83923,0.39177,1.08807,0.0009803,0.0009803,0.0009803
105,9981.62,1.01231,0.68823,1.12855,0.98935,0.95798,0.98146,0.76828,0.82653,0.37762,1.06368,0.0009704,0.0009704,0.0009704
106,10080.8,0.99837,0.68296,1.11949,0.98928,0.95181,0.9822,0.77167,0.82855,0.37465,1.07405,0.0009605,0.0009605,0.0009605
107,10189.4,1.01216,0.68855,1.1258,0.99267,0.95876,0.98225,0.7728,0.84424,0.37362,1.08825,0.0009506,0.0009506,0.0009506
108,10311.2,1.0109,0.68598,1.12483,0.99249,0.96907,0.9858,0.77445,0.84634,0.36751,1.08625,0.0009407,0.0009407,0.0009407
109,10416.8,1.01054,0.68643,1.12485,0.98836,0.95361,0.9847,0.77117,0.82804,0.38547,1.08018,0.0009308,0.0009308,0.0009308
110,10532.8,1.00308,0.6893,1.12652,0.99301,0.96907,0.98593,0.77575,0.81541,0.36442,1.05653,0.0009209,0.0009209,0.0009209
111,10639.9,0.98916,0.67434,1.11952,0.97429,0.97938,0.98544,0.78038,0.81535,0.36176,1.06351,0.000911,0.000911,0.000911
112,10749.6,0.97806,0.66884,1.11499,0.97459,0.96907,0.98593,0.77076,0.83251,0.35997,1.07839,0.0009011,0.0009011,0.0009011
113,10861.4,0.98738,0.67329,1.1191,0.98952,0.97377,0.98688,0.7723,0.86516,0.36207,1.10499,0.0008912,0.0008912,0.0008912
114,10975.3,1.00572,0.68224,1.12723,0.99858,0.96392,0.98692,0.77789,0.82031,0.363,1.07385,0.0008813,0.0008813,0.0008813
115,11090.8,0.99075,0.68225,1.11991,0.98431,0.95876,0.98499,0.77299,0.85098,0.37003,1.08313,0.0008714,0.0008714,0.0008714
116,11204.3,0.98947,0.68102,1.12116,0.98236,0.96392,0.98358,0.77885,0.81498,0.35885,1.05486,0.0008615,0.0008615,0.0008615
117,11305.3,0.98428,0.67547,1.11995,0.98949,0.97037,0.98583,0.78809,0.79755,0.35273,1.04999,0.0008516,0.0008516,0.0008516
118,11411.7,0.9884,0.67616,1.11967,0.99553,0.96907,0.98588,0.79448,0.79306,0.34168,1.04544,0.0008417,0.0008417,0.0008417
119,11524,0.98628,0.66422,1.11903,0.98739,0.97423,0.98629,0.78192,0.81369,0.35335,1.06507,0.0008318,0.0008318,0.0008318
120,11630.1,0.98749,0.66722,1.11212,0.98957,0.97826,0.98592,0.77248,0.82299,0.35509,1.07076,0.0008219,0.0008219,0.0008219
121,11736.6,0.99681,0.67529,1.12158,0.98948,0.96999,0.98599,0.78742,0.80395,0.34849,1.04721,0.000812,0.000812,0.000812
122,11839.1,0.98754,0.6665,1.11462,0.984,0.97423,0.98676,0.78023,0.80801,0.35871,1.05166,0.0008021,0.0008021,0.0008021
123,11938,0.9643,0.65879,1.10952,0.97207,0.97938,0.9858,0.79308,0.79352,0.35194,1.04825,0.0007922,0.0007922,0.0007922
124,12044.2,0.98638,0.66393,1.11531,0.98941,0.96332,0.98533,0.77995,0.8145,0.35554,1.05829,0.0007823,0.0007823,0.0007823
125,12147.6,0.97006,0.6578,1.10909,0.98392,0.94638,0.98399,0.77335,0.81865,0.36879,1.06726,0.0007724,0.0007724,0.0007724
126,12250.4,0.98095,0.65784,1.11017,0.97146,0.95876,0.9842,0.78773,0.81451,0.36484,1.06913,0.0007625,0.0007625,0.0007625
127,12346.7,0.97523,0.65571,1.11195,0.97387,0.96066,0.98077,0.78178,0.80911,0.36492,1.05823,0.0007526,0.0007526,0.0007526
128,12450.6,0.98096,0.66282,1.11368,0.98435,0.97272,0.98559,0.78036,0.81541,0.34826,1.06635,0.0007427,0.0007427,0.0007427
129,12560.5,0.96324,0.65684,1.10919,0.97887,0.95497,0.97595,0.77168,0.82775,0.358,1.06979,0.0007328,0.0007328,0.0007328
130,12674.2,0.97907,0.6718,1.1152,0.98571,0.97423,0.98556,0.78939,0.79751,0.34655,1.0474,0.0007229,0.0007229,0.0007229
131,12790,0.97324,0.65682,1.11212,0.97411,0.97423,0.9842,0.7807,0.80701,0.35985,1.05697,0.000713,0.000713,0.000713
132,12888.4,0.96539,0.65628,1.10708,0.96876,0.95876,0.98233,0.7664,0.84801,0.36808,1.08341,0.0007031,0.0007031,0.0007031
133,12975.4,0.9659,0.653,1.10624,0.98076,0.97423,0.98471,0.79418,0.80632,0.34172,1.04816,0.0006932,0.0006932,0.0006932
134,13058.1,0.96279,0.64729,1.10612,0.9645,0.97423,0.98539,0.78091,0.81493,0.35506,1.06243,0.0006833,0.0006833,0.0006833
135,13140,0.96876,0.65209,1.11219,0.9692,0.97338,0.98465,0.76857,0.83145,0.36649,1.07938,0.0006734,0.0006734,0.0006734
136,13221.8,0.96385,0.65065,1.10515,0.98235,0.97938,0.98574,0.78106,0.80269,0.33422,1.06001,0.0006635,0.0006635,0.0006635
137,13301,0.95902,0.64799,1.10596,0.98958,0.97932,0.98532,0.79308,0.7901,0.33551,1.03816,0.0006536,0.0006536,0.0006536
138,13381.2,0.96024,0.64057,1.09984,0.96949,0.98284,0.985,0.77518,0.81018,0.35066,1.05842,0.0006437,0.0006437,0.0006437
139,13457.6,0.94552,0.6304,1.09677,0.97937,0.97897,0.98612,0.78305,0.79614,0.33495,1.05272,0.0006338,0.0006338,0.0006338
140,13539.1,0.96168,0.64252,1.10577,0.9744,0.98454,0.98698,0.7831,0.80654,0.34063,1.05598,0.0006239,0.0006239,0.0006239
141,13620.2,0.96343,0.65086,1.10524,0.98453,0.9841,0.98694,0.78533,0.79034,0.33975,1.0522,0.000614,0.000614,0.000614
142,13699.7,0.94996,0.63663,1.09929,0.97945,0.98278,0.9865,0.78655,0.80266,0.34758,1.06162,0.0006041,0.0006041,0.0006041
143,13780,0.96092,0.63935,1.10791,0.9852,0.97423,0.98653,0.79071,0.78435,0.35027,1.05635,0.0005942,0.0005942,0.0005942
144,13862.5,0.95402,0.63296,1.10021,0.97942,0.98136,0.98539,0.78245,0.79015,0.34905,1.05345,0.0005843,0.0005843,0.0005843
145,13941.2,0.94824,0.6308,1.09467,0.97428,0.97612,0.986,0.77591,0.81288,0.35057,1.06653,0.0005744,0.0005744,0.0005744
146,14014.4,0.9318,0.62677,1.09245,0.97708,0.97423,0.98511,0.77563,0.80442,0.35198,1.0654,0.0005645,0.0005645,0.0005645
147,14093.8,0.94632,0.63245,1.0982,0.99056,0.96392,0.9862,0.78261,0.79525,0.34656,1.06081,0.0005546,0.0005546,0.0005546
148,14166.2,0.94667,0.6335,1.09612,0.98432,0.97423,0.98437,0.77801,0.80891,0.34506,1.06544,0.0005447,0.0005447,0.0005447
149,14243.4,0.94291,0.63171,1.09559,0.9895,0.97115,0.98337,0.78467,0.78873,0.3407,1.05211,0.0005348,0.0005348,0.0005348
150,14318.6,0.94287,0.62814,1.09758,0.98712,0.96392,0.97774,0.779,0.8039,0.33863,1.06504,0.0005249,0.0005249,0.0005249
151,14394.2,0.93604,0.62284,1.09827,0.96455,0.9819,0.98542,0.78354,0.79908,0.33709,1.06209,0.000515,0.000515,0.000515
152,14472.3,0.93984,0.63055,1.09325,0.96852,0.97423,0.98327,0.78523,0.77459,0.33536,1.03923,0.0005051,0.0005051,0.0005051
153,14545.4,0.93214,0.62557,1.09058,0.96935,0.9781,0.98391,0.77742,0.81407,0.34693,1.07644,0.0004952,0.0004952,0.0004952
154,14622.7,0.93915,0.62207,1.09265,0.97934,0.97761,0.98541,0.78296,0.81361,0.33761,1.07492,0.0004853,0.0004853,0.0004853
155,14693.6,0.94119,0.63695,1.09814,0.98823,0.95876,0.98519,0.77729,0.80112,0.3359,1.06628,0.0004754,0.0004754,0.0004754
156,14772.7,0.93128,0.62276,1.09199,0.98431,0.97,0.98512,0.78638,0.79171,0.33308,1.0537,0.0004655,0.0004655,0.0004655
157,14846.1,0.93065,0.62481,1.09401,0.97599,0.97938,0.98604,0.78024,0.80129,0.33642,1.06768,0.0004556,0.0004556,0.0004556
158,14920.2,0.92415,0.61325,1.08963,0.99471,0.96852,0.98589,0.78001,0.80599,0.34131,1.06654,0.0004457,0.0004457,0.0004457
159,14997.4,0.93229,0.61378,1.09598,0.98809,0.97938,0.98691,0.77893,0.81046,0.32977,1.06827,0.0004358,0.0004358,0.0004358
160,15069.8,0.93093,0.62097,1.08867,0.97647,0.97938,0.98289,0.78391,0.79349,0.33285,1.05222,0.0004259,0.0004259,0.0004259
161,15148.4,0.92931,0.62924,1.09443,0.97926,0.97347,0.98595,0.78745,0.79616,0.33156,1.0564,0.000416,0.000416,0.000416
162,15220.5,0.93351,0.6231,1.09097,0.99383,0.95876,0.98367,0.78369,0.80381,0.33124,1.07058,0.0004061,0.0004061,0.0004061
163,15298.3,0.9284,0.62001,1.08742,0.98946,0.96823,0.98514,0.79028,0.78083,0.32379,1.04896,0.0003962,0.0003962,0.0003962
164,15371.5,0.9263,0.61892,1.09097,0.99046,0.96392,0.98524,0.78211,0.80346,0.33142,1.06464,0.0003863,0.0003863,0.0003863
165,15450.2,0.93652,0.62053,1.09176,0.98799,0.96907,0.98076,0.77251,0.80671,0.33807,1.0771,0.0003764,0.0003764,0.0003764
166,15522.5,0.93073,0.61746,1.09063,0.99468,0.96907,0.98174,0.77611,0.79722,0.33078,1.06959,0.0003665,0.0003665,0.0003665
167,15601.1,0.92595,0.61839,1.0923,0.99293,0.96907,0.97711,0.77249,0.79412,0.32938,1.06418,0.0003566,0.0003566,0.0003566
